hex;r;g;b;h;s;v;name
FAD6A5;250;214;165;35;34;98;Champagne (color)#Deep champagne
B94E48;185;78;72;3;61;73;Chestnut (color)#Deep chestnut
004B49;0;75;73;178;100;29;Jungle green#Deep jungle green
FF1493;255;20;147;328;92;100;Shades of pink#Deep pink
FF9933;255;153;51;30;80;100;Saffron (color)#India saffron or deep saffron
00BFFF;0;191;255;195;100;100;Sky blue#Deep sky blue
4A646C;74;100;108;194;31;42;List of Crayola crayon colors#Metallic FX
7E5E60;126;94;96;356;25;49;Taupe#Deep taupe
1560BD;21;96;189;213;89;74;List of Crayola crayon colors#Standard colors
2243B6;34;67;182;227;81;71;List of Crayola crayon colors#Heads 'n Tails
C19A6B;193;154;107;33;45;76;Desert sand (color)#Desert
EDC9AF;237;201;175;25;26;93;Desert sand (color)
696969;105;105;105;— ;0;41;Grey#Web colors
1E90FF;30;144;255;210;88;100;Dodger blue
D71868;215;24;104;335;89;84;Rose (color)#Dogwood rose
967117;150;113;23;43;85;59;Desert sand (color)#Sand dune (Drab)
00009C;0;0;156;240;100;61;Duke blue
EFDFBB;239;223;187;42;22;94;Shades of white#Dutch white
E1A95F;225;169;95;34;58;88;Desert sand (color)#Earth yellow
555D50;85;93;80;97;14;36;Shades of black (colors)#Ebony
C2B280;194;178;128;45;34;76;Ecru
1B1B1B;27;27;27;— ;0;11;Shades of black#Eerie black
614051;97;64;81;329;34;38;20
F0EAD6;240;234;214;46;11;94;Eggshell (color)
1034A6;16;52;166;226;90;65;Egyptian blue
16161D;22;22;29;240;24;11;Eigengrau
7DF9FF;125;249;255;183;51;100;Electric blue (color)
00FF00;0;255;0;120;100;100;Electric green
6F00FF;111;0;255;266;100;100;Indigo#Electric indigo
CCFF00;204;255;0;72;100;100;Lime (color)#Electric lime
BF00FF;191;0;255;285;100;100;Shades of purple#Electric purple: 2000s
8F00FF;143;0;255;274;100;100;Shades of violet#Electric violet
50C878;80;200;120;140;60;78;Shades of green#Emerald
6C3082;108;48;130;284;63;51;Shades of purple#Eminence
1B4D3E;27;77;62;162;65;30;Shades of green#Brunswick green
B48395;180;131;149;338;27;71;Lavender (color)#English lavender
AB4B52;171;75;82;356;56;67;39
CC474B;204;71;75;358;65;80;List of Crayola crayon colors
563C5C;86;60;92;289;35;36;Shades of violet#English violet
00FF40;0;255;64;135;100;100;Erin (color)
96C8A2;150;200;162;134;25;78;Eton blue#Eton blue
C19A6B;193;154;107;33;45;76;Fallow (color)
801818;128;24;24;0;81;50;Falu red
B53389;181;51;137;320;72;71;45
DE5285;222;82;133;338;63;87;Shades of pink#Fandango pink
F400A1;244;0;161;320;100;96;Fuchsia (color)#Fashion fuchsia
E5AA70;229;170;112;30;51;90;Fawn (colour)
4D5D53;77;93;83;143;17;36;Shades of green#Feldgrau
4F7942;79;121;66;106;45;47;Shades of green#Fern green
6C541E;108;84;30;42;72;42;Desert sand (color)#Field drab
FF5470;255;84;112;350;67;100;List of Crayola crayon colors#Extreme Twistables colors
B22222;178;34;34;0;81;70;X11 color names#Color name charts
CE2029;206;32;41;357;84;81;Fire engine red
E95C4B;233;92;75;6;68;91;Shades of orange#Fire opal
E25822;226;88;34;17;85;89;Flame (color)
EEDC82;238;220;130;50;45;93;Flax (color)
A2006D;162;0;109;320;100;64;Red-violet#Flirt
FFFAF0;255;250;240;40;6;100;Shades of white#Floral white
15F4EE;21;244;238;178;91;96;Shades_of_blue#Fluorescent_blue
5FA777;95;167;119;140;43;65;Shades of green#Forest Green (Crayola)
228B22;34;139;34;120;76;55;Shades of green#Forest green
A67B5B;166;123;91;26;45;65;Beige#French beige
856D4D;133;109;77;34;42;52;Bistre#French bistre
0072BB;0;114;187;203;100;73;Shades of azure#French blue
FD3F92;253;63;146;334;75;99;Fuchsia (color)#French fuchsia
86608E;134;96;142;290;32;56;Lilac (color)#French lilac
9EFD38;158;253;56;89;78;99;Lime (color)#French lime
D473D4;212;115;212;300;46;83;Mauve#French mauve (deep mauve)
FD6C9E;253;108;158;339;57;99;Shades of pink#French pink
C72C48;199;44;72;349;78;78;Raspberry (color)#French raspberry
F64A8A;246;74;138;338;70;96;Rose (color)#French rose
77B5FE;119;181;254;212;53;100;Sky blue#French sky blue
8806CE;136;6;206;279;97;81;Shades of violet#French violet
E936A7;233;54;167;322;77;91;List of Crayola crayon colors#Extreme Twistables colors
FF00FF;255;0;255;300;100;100;Fuchsia (color)
C154C1;193;84;193;300;56;76;Fuchsia (color)#Deep fuchsia
CC397B;204;57;123;333;72;80;Fuchsia (color)#Fuchsia purple
C74375;199;67;117;337;66;78;Rose (color)#Fuchsia rose
E48400;228;132;0;35;100;89;Fulvous
87421F;135;66;31;20;77;53;List of Crayola crayon colors#Standard colors
